case,repetition,dt_s,cell_depth_m,rho_kg_m3,pressure_pa,exner,temperature_k,cloud_diameter_m,hail_diameter_m,hail_density_kg_m3,theta_before_k,qv_before,qc_before,qnc_before_per_kg,qh_before,qnh_before_per_kg,qvolh_before_m3_per_kg,theta_after_k,qv_after,qc_after,qnc_after_per_kg,qh_after,qnh_after_per_kg,qvolh_after_m3_per_kg,qg_after,qng_after_per_kg,qvolg_after_m3_per_kg,qi_after,qs_after,qr_after
8,1, 1.0000000000000000E+000, 1.0500000000000000E+003, 1.1060000658035278E+000, 8.5200000000000000E+004, 9.5524096488952637E-001, 2.4500000000000000E+002, 7.0000001869630069E-005, 9.9999997764825821E-003, 7.0000000000000000E+002, 2.5647979736328125E+002, 4.3636807822622359E-004, 5.0000002374872565E-004, 2.7840510000000000E+006, 1.9999999494757503E-004, 5.4567402601242065E-001, 2.8571426469170547E-007, 2.5647985839843750E+002, 4.3636807822622359E-004, 4.9975211732089520E-004, 2.7826705000000000E+006, 2.0024793047923595E-004, 5.4567402601242065E-001, 2.8599157531061792E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.4358246908064528E-018, 0.0000000000000000E+000, 0.0000000000000000E+000
9,1, 1.0000000000000000E+000, 1.1500000000000000E+003, 1.1080000400543213E+000, 8.4850000000000000E+004, 9.5411741733551025E-001, 2.4550000000000000E+002, 2.4999999368446879E-005, 1.9999999552965164E-002, 8.0000000000000000E+002, 2.5730584716796875E+002, 4.5913059148006141E-004, 9.9999999747524271E-007, 1.2223099218750000E+005, 2.0000000949949026E-003, 5.9683102369308472E-001, 2.5000001642183634E-006, 2.5730584716796875E+002, 4.5913059148006141E-004, 9.9650753782043466E-007, 1.2180409375000000E+005, 2.0000035874545574E-003, 5.9683102369308472E-001, 2.5000051664392231E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
10,1, 1.0000000000000000E+000, 1.2500000000000000E+003, 1.1100000143051147E+000, 8.4500000000000000E+004, 9.5299053192138672E-001, 2.4600000000000000E+002, 4.9999998736893758E-005, 2.9999999329447746E-002, 9.0000000000000000E+002, 2.5813476562500000E+002, 4.8298126785084605E-004, 1.0000000474974513E-003, 1.5278875000000000E+007, 9.9999999747524271E-007, 7.8595039667561650E-005, 1.1111110920225542E-009, 2.5813476562500000E+002, 4.8298126785084605E-004, 9.9999865051358938E-004, 1.5278856000000000E+007, 1.0013557130150730E-006, 1.7292822303716093E-004, 1.1126174426223656E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
11,1, 1.0000000000000000E+000, 1.3500000000000000E+003, 1.1119999885559082E+000, 8.4150000000000000E+004, 9.5186036825180054E-001, 2.4650000000000000E+002, 7.9999997979030013E-005, 3.9999999105930328E-002, 6.0000000000000000E+002, 2.5896655273437500E+002, 5.0796737195923924E-004, 2.0000000949949026E-003, 7.4603890000000000E+006, 4.9999998882412910E-003, 2.4867959320545197E-001, 8.3333334259805270E-006, 2.5897088623046875E+002, 5.0796737195923924E-004, 1.9847485236823559E-003, 7.4034975000000000E+006, 5.0152516923844814E-003, 1.2991566658020020E+000, 8.3502791312639602E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
0,2, 1.0000000000000000E+001, 2.5000000000000000E+002, 9.6000003814697266E-001, 8.0000000000000000E+004, 9.3819642066955566E-001, 2.4500000000000000E+002, 1.9999999494757503E-005, 2.0000000949949026E-003, 7.0000000000000000E+002, 2.6113934326171875E+002, 4.6473197289742529E-004, 5.0000002374872565E-004, 1.1936622400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6113934326171875E+002, 4.6473197289742529E-004, 5.0000002374872565E-004, 1.1936622400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,2, 1.0000000000000000E+001, 3.5000000000000000E+002, 9.6200001239776611E-001, 7.9650000000000000E+004, 9.3702107667922974E-001, 2.4550000000000000E+002, 1.9999999494757503E-005, 2.0000000949949026E-003, 7.0000000000000000E+002, 2.6200051879882812E+002, 4.8910523764789104E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-004, 6.8209243774414062E+001, 2.8571426469170547E-007, 2.6200051879882812E+002, 4.8910523764789104E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-004, 6.8209243774414062E+001, 2.8571426469170547E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,2, 1.0000000000000000E+001, 4.5000000000000000E+002, 9.6400004625320435E-001, 7.9300000000000000E+004, 9.3584203720092773E-001, 2.4600000000000000E+002, 3.9999999899009708E-006, 3.0000001424923539E-004, 5.0000000000000000E+002, 2.6286486816406250E+002, 5.1465217256918550E-004, 5.0000002374872565E-004, 1.4920776704000000E+010, 1.9999999494757503E-004, 2.8294205078125000E+004, 3.9999997625272954E-007, 2.6286550903320312E+002, 5.1465217256918550E-004, 4.9778353422880173E-004, 1.4854625280000000E+010, 2.0221649901941419E-004, 2.8294193359375000E+004, 4.0443299553771794E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
3,2, 1.0000000000000000E+001, 5.5000000000000000E+002, 9.6600002050399780E-001, 7.8950000000000000E+004, 9.3465930223464966E-001, 2.4650000000000000E+002, 7.9999999798019417E-006, 5.0000002374872565E-004, 6.0000000000000000E+002, 2.6373245239257812E+002, 5.4142437875270844E-004, 5.0000002374872565E-004, 1.8650970880000000E+009, 1.9999999494757503E-004, 5.0929570312500000E+003, 3.3333333249174757E-007, 2.6373382568359375E+002, 5.4142437875270844E-004, 4.9523269990459085E-004, 1.8473141760000000E+009, 2.0476730423979461E-004, 5.0929570312500000E+003, 3.4286796335436520E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
4,2, 1.0000000000000000E+001, 6.5000000000000000E+002, 9.6800005435943604E-001, 7.8600000000000000E+004, 9.3347281217575073E-001, 2.4700000000000000E+002, 1.4999999621068127E-005, 1.0000000474974513E-003, 7.0000000000000000E+002, 2.6460330200195312E+002, 5.6947581470012665E-004, 5.0000002374872565E-004, 2.8294214400000000E+008, 2.0000000949949026E-003, 5.4567397460937500E+003, 2.8571430448209867E-006, 2.6461938476562500E+002, 5.6947581470012665E-004, 4.4491683365777135E-004, 2.5177142400000000E+008, 2.0550834015011787E-003, 5.4567397460937500E+003, 2.9673094559257152E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
5,2, 1.0000000000000000E+001, 7.5000000000000000E+002, 9.7000002861022949E-001, 7.8250000000000000E+004, 9.3228256702423096E-001, 2.4750000000000000E+002, 2.9999999242136255E-005, 2.0000000949949026E-003, 8.0000000000000000E+002, 2.6547744750976562E+002, 5.9886183589696884E-004, 5.0000002374872565E-004, 3.5367768000000000E+007, 1.9999999494757503E-004, 5.9683090209960938E+001, 2.4999999936881068E-007, 2.6547869873046875E+002, 5.9886183589696884E-004, 4.9570057308301330E-004, 3.5063644000000000E+007, 2.0429944561328739E-004, 5.9683090209960938E+001, 2.5859890229185112E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
6,2, 1.0000000000000000E+001, 8.5000000000000000E+002, 9.7200006246566772E-001, 7.7900000000000000E+004, 9.3108844757080078E-001, 2.4800000000000000E+002, 4.9999998736893758E-005, 3.0000000260770321E-003, 9.0000000000000000E+002, 2.6635491943359375E+002, 6.2964094104245305E-004, 5.0000002374872565E-004, 7.6394375000000000E+006, 1.9999999494757503E-004, 1.5719005584716797E+001, 2.2222221218726190E-007, 2.6635589599609375E+002, 6.2964094104245305E-004, 4.9665186088532209E-004, 7.5882815000000000E+006, 2.0334815781097859E-004, 1.5719005584716797E+001, 2.2747830996650009E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
7,2, 1.0000000000000000E+001, 9.5000000000000000E+002, 9.7400003671646118E-001, 7.7550000000000000E+004, 9.2989057302474976E-001, 2.4850000000000000E+002, 5.9999998484272510E-005, 4.9999998882412910E-003, 5.0000000000000000E+002, 2.6723574829101562E+002, 6.6187325865030289E-004, 5.0000002374872565E-004, 4.4209710000000000E+006, 1.9999999494757503E-004, 6.1115493774414062E+000, 3.9999997625272954E-007, 2.6723681640625000E+002, 6.6187325865030289E-004, 4.9635936738923192E-004, 4.3887805000000000E+006, 2.0364065130706877E-004, 6.1115493774414062E+000, 4.0518435184822010E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
8,2, 1.0000000000000000E+001, 1.0500000000000000E+003, 9.7600001096725464E-001, 7.7200000000000000E+004, 9.2868876457214355E-001, 2.4500000000000000E+002, 7.0000001869630069E-005, 9.9999997764825821E-003, 7.0000000000000000E+002, 2.6381280517578125E+002, 4.8158754361793399E-004, 5.0000002374872565E-004, 2.7840510000000000E+006, 1.9999999494757503E-004, 5.4567402601242065E-001, 2.8571426469170547E-007, 2.6381347656250000E+002, 4.8158754361793399E-004, 4.9766944721341133E-004, 2.7710740000000000E+006, 2.0233057148288935E-004, 5.4567402601242065E-001, 2.8830379505961901E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.4358246908064528E-018, 0.0000000000000000E+000, 0.0000000000000000E+000
9,2, 1.0000000000000000E+001, 1.1500000000000000E+003, 9.7800004482269287E-001, 7.6850000000000000E+004, 9.2748308181762695E-001, 2.4550000000000000E+002, 2.4999999368446879E-005, 1.9999999552965164E-002, 8.0000000000000000E+002, 2.6469485473632812E+002, 5.0692557124421000E-004, 9.9999999747524271E-007, 1.2223099218750000E+005, 2.0000000949949026E-003, 5.9683102369308472E-001, 2.5000001642183634E-006, 2.6469485473632812E+002, 5.0692557124421000E-004, 9.6718611075630179E-007, 1.1822011718750000E+005, 2.0000329241156578E-003, 5.9683102369308472E-001, 2.5000451842061011E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
