phase,run,case,column,k,first_step,cu_used,dt_s,rho_kg_m3,dz_m,temperature_k,qrcuten,qscuten,qicuten,qccuten,qv,qc,qr,qi,qs,qg,qh,qndrop_per_kg,qnr_per_kg,qni_per_kg,qns_per_kg,qng_per_kg,qnh_per_kg,qnn_per_kg,qvolg_m3_per_kg,qvolh_m3_per_kg,rainnc,rainncv,snownc,snowncv,graupelnc,graupelncv,hailnc,hailncv,sr,ice_surface_export
before,1,5,5,2,1,0, 5.0000000000000000E-001, 1.2490000724792480E+000, 2.7600000000000000E+002, 2.6000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.1000002101063728E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.5000000000000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5000000000000000E-001,-9.0000000000000000E+000, 1.5000000596046448E-001,-9.0000000000000000E+000, 9.9999994039535522E-002,-9.0000000000000000E+000, 7.9999998211860657E-002,-9.0000000000000000E+000,-9.0000000000000000E+000, 0.0000000000000000E+000
before,1,6,6,2,1,0, 5.0000000000000000E-001, 1.2549999952316284E+000, 2.7800000000000000E+002, 2.6000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.1000002101063728E-003, 0.0000000000000000E+000, 1.4500000361294951E-005, 4.3500003812368959E-006, 1.0149999980058055E-005, 1.1600000107137021E-005, 8.7000007624737918E-006, 0.0000000000000000E+000, 1.2615227050781250E+003, 4.2050756835937500E+002, 8.8306582031250000E+003, 1.9408040771484375E+003, 8.9048657226562500E+002, 4.5000000000000000E+008, 2.2307691693868037E-008, 1.0235295277993828E-008, 2.5999999046325684E-001,-9.0000000000000000E+000, 1.5999999642372131E-001,-9.0000000000000000E+000, 1.0999999940395355E-001,-9.0000000000000000E+000, 8.9999996125698090E-002,-9.0000000000000000E+000,-9.0000000000000000E+000, 0.0000000000000000E+000
before,1,1,1,3,1,0, 5.0000000000000000E-001, 1.1899999380111694E+000, 2.8100000000000000E+002, 2.6000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.1500001251697540E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.5000000000000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.1000000834465027E-001,-9.0000000000000000E+000, 1.0999999940395355E-001,-9.0000000000000000E+000, 6.0000002384185791E-002,-9.0000000000000000E+000, 3.9999999105930328E-002,-9.0000000000000000E+000,-9.0000000000000000E+000, 0.0000000000000000E+000
before,1,2,2,3,1,0, 5.0000000000000000E-001, 1.1959999799728394E+000, 2.8300000000000000E+002, 2.6000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.1500001251697540E-003, 1.6663494761814945E-006, 3.3326989523629891E-006, 1.3330795809451956E-006, 2.6661591618903913E-006, 3.5548787309380714E-006, 2.3328891529672546E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.5000000000000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.1999999880790710E-001,-9.0000000000000000E+000, 1.2000000476837158E-001,-9.0000000000000000E+000, 7.0000000298023224E-002,-9.0000000000000000E+000, 4.9999997019767761E-002,-9.0000000000000000E+000,-9.0000000000000000E+000, 0.0000000000000000E+000
before,1,3,3,3,1,0, 5.0000000000000000E-001, 1.2019999027252197E+000, 2.8500000000000000E+002, 2.6000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.1500001251697540E-003, 1.1108995749964379E-006, 6.6653979047259782E-006, 1.6663494761814945E-006, 4.4435982999857515E-006, 7.7762970249750651E-006, 8.8871965999715030E-006, 1.0201824951171875E+002, 8.5506622314453125E+001, 1.7003044128417969E+002, 5.7004412841796875E+002, 3.0321493530273438E+002, 1.7247930908203125E+002, 4.5000000000000000E+008, 2.3636161472495587E-008, 1.3445077939877592E-008, 2.3000000417232513E-001,-9.0000000000000000E+000, 1.2999999523162842E-001,-9.0000000000000000E+000, 7.9999998211860657E-002,-9.0000000000000000E+000, 5.9999998658895493E-002,-9.0000000000000000E+000,-9.0000000000000000E+000, 0.0000000000000000E+000
before,1,4,4,3,1,0, 5.0000000000000000E-001, 1.2079999446868896E+000, 2.8700000000000000E+002, 2.6000000000000000E+002, 3.6044435546500608E-005, 2.8022217520629056E-005, 1.8022217773250304E-005, 2.2022217308403924E-005, 8.1500001251697540E-003, 2.0055544155184180E-005, 4.0222177631221712E-005, 3.0077762858127244E-005, 5.0166632718173787E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0000000000000000E+007, 8.0000000000000000E+004, 1.5000000000000000E+005, 6.0000000000000000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.5000000000000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4000000953674316E-001,-9.0000000000000000E+000, 1.4000000059604645E-001,-9.0000000000000000E+000, 9.0000003576278687E-002,-9.0000000000000000E+000, 7.0000000298023224E-002,-9.0000000000000000E+000,-9.0000000000000000E+000, 0.0000000000000000E+000
before,1,5,5,3,1,0, 5.0000000000000000E-001, 1.2139999866485596E+000, 2.8900000000000000E+002, 2.6000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.1500001251697540E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.5000000000000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5000000000000000E-001,-9.0000000000000000E+000, 1.5000000596046448E-001,-9.0000000000000000E+000, 9.9999994039535522E-002,-9.0000000000000000E+000, 7.9999998211860657E-002,-9.0000000000000000E+000,-9.0000000000000000E+000, 0.0000000000000000E+000
before,1,6,6,3,1,0, 5.0000000000000000E-001, 1.2199999094009399E+000, 2.9100000000000000E+002, 2.6000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.1500001251697540E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.5000000000000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5999999046325684E-001,-9.0000000000000000E+000, 1.5999999642372131E-001,-9.0000000000000000E+000, 1.0999999940395355E-001,-9.0000000000000000E+000, 8.9999996125698090E-002,-9.0000000000000000E+000,-9.0000000000000000E+000, 0.0000000000000000E+000
before,1,1,1,4,1,0, 5.0000000000000000E-001, 1.1549999713897705E+000, 2.9400000000000000E+002, 2.6000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.2000000402331352E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.5000000000000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.1000000834465027E-001,-9.0000000000000000E+000, 1.0999999940395355E-001,-9.0000000000000000E+000, 6.0000002384185791E-002,-9.0000000000000000E+000, 3.9999999105930328E-002,-9.0000000000000000E+000,-9.0000000000000000E+000, 0.0000000000000000E+000
before,1,2,2,4,1,0, 5.0000000000000000E-001, 1.1610000133514404E+000, 2.9600000000000000E+002, 2.6000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.2000000402331352E-003, 8.4202138168620877E-006, 1.6840427633724175E-005, 6.7361706896917894E-006, 1.3472341379383579E-005, 1.7963122445507906E-005, 1.1788299161707982E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.5000000000000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.1999999880790710E-001,-9.0000000000000000E+000, 1.2000000476837158E-001,-9.0000000000000000E+000, 7.0000000298023224E-002,-9.0000000000000000E+000, 4.9999997019767761E-002,-9.0000000000000000E+000,-9.0000000000000000E+000, 0.0000000000000000E+000
before,1,3,3,4,1,0, 5.0000000000000000E-001, 1.1669999361038208E+000, 2.9800000000000000E+002, 2.6000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.2000000402331352E-003, 5.6134754231607076E-006, 3.3680855267448351E-005, 8.4202138168620877E-006, 2.2453901692642830E-005, 3.9294329326367006E-005, 4.4907803385285661E-005, 3.9707202148437500E+002, 3.1320477294921875E+002, 6.6178680419921875E+002, 2.0880314941406250E+003, 1.0380839843750000E+003, 6.1593847656250000E+002, 4.5000000000000000E+008, 1.1163161417471201E-007, 6.6235699591743469E-008, 2.3000000417232513E-001,-9.0000000000000000E+000, 1.2999999523162842E-001,-9.0000000000000000E+000, 7.9999998211860657E-002,-9.0000000000000000E+000, 5.9999998658895493E-002,-9.0000000000000000E+000,-9.0000000000000000E+000, 0.0000000000000000E+000
before,1,4,4,4,1,0, 5.0000000000000000E-001, 1.1729999780654907E+000, 3.0000000000000000E+002, 2.6000000000000000E+002, 3.6224540963303298E-005, 2.8112270229030401E-005, 1.8112270481651649E-005, 2.2112270016805269E-005, 8.2000000402331352E-003, 2.0280673197703436E-005, 4.1122693801298738E-005, 3.0392942790058441E-005, 5.0842019845731556E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0000000000000000E+007, 8.0000000000000000E+004, 1.5000000000000000E+005, 6.0000000000000000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.5000000000000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4000000953674316E-001,-9.0000000000000000E+000, 1.4000000059604645E-001,-9.0000000000000000E+000, 9.0000003576278687E-002,-9.0000000000000000E+000, 7.0000000298023224E-002,-9.0000000000000000E+000,-9.0000000000000000E+000, 0.0000000000000000E+000
before,1,5,5,4,1,0, 5.0000000000000000E-001, 1.1790000200271606E+000, 3.0200000000000000E+002, 2.6000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.2000000402331352E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.5000000000000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5000000000000000E-001,-9.0000000000000000E+000, 1.5000000596046448E-001,-9.0000000000000000E+000, 9.9999994039535522E-002,-9.0000000000000000E+000, 7.9999998211860657E-002,-9.0000000000000000E+000,-9.0000000000000000E+000, 0.0000000000000000E+000
before,1,6,6,4,1,0, 5.0000000000000000E-001, 1.1849999427795410E+000, 3.0400000000000000E+002, 2.6000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.2000000402331352E-003, 0.0000000000000000E+000, 3.0486251489492133E-005, 9.1458759925444610E-006, 2.1340376406442374E-005, 2.4389000827795826E-005, 1.8291751985088922E-005, 0.0000000000000000E+000, 1.3437636718750000E+003, 4.4792126464843750E+002, 9.4063457031250000E+003, 2.0673288574218750E+003, 9.4853912353515625E+002, 4.5000000000000000E+008, 4.6901924122266792E-008, 2.1519708681694283E-008, 2.5999999046325684E-001,-9.0000000000000000E+000, 1.5999999642372131E-001,-9.0000000000000000E+000, 1.0999999940395355E-001,-9.0000000000000000E+000, 8.9999996125698090E-002,-9.0000000000000000E+000,-9.0000000000000000E+000, 0.0000000000000000E+000
before,1,1,1,5,1,0, 5.0000000000000000E-001, 1.1200000047683716E+000, 3.0700000000000000E+002, 2.6000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.2499999552965164E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.5000000000000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.1000000834465027E-001,-9.0000000000000000E+000, 1.0999999940395355E-001,-9.0000000000000000E+000, 6.0000002384185791E-002,-9.0000000000000000E+000, 3.9999999105930328E-002,-9.0000000000000000E+000,-9.0000000000000000E+000, 0.0000000000000000E+000
before,1,2,2,5,1,0, 5.0000000000000000E-001, 1.1260000467300415E+000, 3.0900000000000000E+002, 2.6000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.2499999552965164E-003, 2.9684802939300425E-005, 5.9369605878600851E-005, 2.3747839804855175E-005, 4.7495679609710351E-005, 6.3327570387627929E-005, 4.1558720113243908E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.5000000000000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.1999999880790710E-001,-9.0000000000000000E+000, 1.2000000476837158E-001,-9.0000000000000000E+000, 7.0000000298023224E-002,-9.0000000000000000E+000, 4.9999997019767761E-002,-9.0000000000000000E+000,-9.0000000000000000E+000, 0.0000000000000000E+000
before,1,3,3,5,1,0, 5.0000000000000000E-001, 1.1319999694824219E+000, 3.1100000000000000E+002, 2.6000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.2499999552965164E-003, 1.9789866200881079E-005, 1.1873921175720170E-004, 2.9684802939300425E-005, 7.9159464803524315E-005, 1.3852906704414636E-004, 1.5831892960704863E-004, 1.1010169677734375E+003, 8.2576281738281250E+002, 1.8350285644531250E+003, 5.5050854492187500E+003, 2.5690397949218750E+003, 1.5841971435546875E+003, 4.5000000000000000E+008, 3.6941085568287235E-007, 2.2779701680519793E-007, 2.3000000417232513E-001,-9.0000000000000000E+000, 1.2999999523162842E-001,-9.0000000000000000E+000, 7.9999998211860657E-002,-9.0000000000000000E+000, 5.9999998658895493E-002,-9.0000000000000000E+000,-9.0000000000000000E+000, 0.0000000000000000E+000
before,1,4,4,5,1,0, 5.0000000000000000E-001, 1.1380000114440918E+000, 3.1300000000000000E+002, 2.6000000000000000E+002, 3.6791596357943490E-005, 2.8395797926350497E-005, 1.8395798178971745E-005, 2.2395797714125365E-005, 8.2499999552965164E-003, 2.0989493350498378E-005, 4.3957970774499699E-005, 3.1385290640173480E-005, 5.2968480304116383E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0000000000000000E+007, 8.0000000000000000E+004, 1.5000000000000000E+005, 6.0000000000000000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.5000000000000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4000000953674316E-001,-9.0000000000000000E+000, 1.4000000059604645E-001,-9.0000000000000000E+000, 9.0000003576278687E-002,-9.0000000000000000E+000, 7.0000000298023224E-002,-9.0000000000000000E+000,-9.0000000000000000E+000, 0.0000000000000000E+000
before,1,5,5,5,1,0, 5.0000000000000000E-001, 1.1440000534057617E+000, 3.1500000000000000E+002, 2.6000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.2499999552965164E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.5000000000000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5000000000000000E-001,-9.0000000000000000E+000, 1.5000000596046448E-001,-9.0000000000000000E+000, 9.9999994039535522E-002,-9.0000000000000000E+000, 7.9999998211860657E-002,-9.0000000000000000E+000,-9.0000000000000000E+000, 0.0000000000000000E+000
