case,k,delt,ktau,conflx,iland,isoil,nroot,myj,prcpms,rainf,patm,qvatm,qcatm,glw,gsw,emiss,rnet,qkms,tkms,rho,xlv,cp,rovcp,cw,stbolt,tabs,zsmain,zshalf,tice,rhosice,capice,thdifice,tso_before,tso_after,dew_before,dew_after,soilt_before,soilt_after,qvg_before,qvg_after,qsg_before,qsg_after,qcg_before,qcg_after,eeta,qfx,hfx,s,evapl,prcpl,fltot,soilmois_after,soiliqw_after,soilice_after,smfrkeep_after,keepfr_after
cold_thick_ice,1,60.0000000,1,40.0000000,24,16,4,0,0.00000000,0.00000000,0.949999988,0.199999995E-3,0.00000000,170.000000,5.00000000,0.980000019,-45.0000000,0.800000038E-2,0.700000022E-2,1.35000002,2500000.00,1004.50000,0.285714298,4183000.00,0.567051011E-7,238.000000,0.00000000,0.00000000,-33.1499939,912.608215,1695126.38,0.133374829E-5,240.000000,241.435867,0.00000000,0.00000000,241.000000,241.435867,0.198494512E-3,0.207853343E-3,0.198494512E-3,0.207853343E-3,0.00000000,0.00000000,0.848161648E-7,0.241726071,33.0965576,-348.628143,0.848161648E-7,0.00000000,0.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000
cold_thick_ice,2,60.0000000,1,40.0000000,24,16,4,0,0.00000000,0.00000000,0.949999988,0.199999995E-3,0.00000000,170.000000,5.00000000,0.980000019,-45.0000000,0.800000038E-2,0.700000022E-2,1.35000002,2500000.00,1004.50000,0.285714298,4183000.00,0.567051011E-7,238.000000,0.999999978E-2,0.499999989E-2,-29.6499939,913.132690,1721012.62,0.131368699E-5,243.500000,242.977875,0.00000000,0.00000000,241.000000,241.435867,0.198494512E-3,0.207853343E-3,0.198494512E-3,0.207853343E-3,0.00000000,0.00000000,0.848161648E-7,0.241726071,33.0965576,-348.628143,0.848161648E-7,0.00000000,0.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000
cold_thick_ice,3,60.0000000,1,40.0000000,24,16,4,0,0.00000000,0.00000000,0.949999988,0.199999995E-3,0.00000000,170.000000,5.00000000,0.980000019,-45.0000000,0.800000038E-2,0.700000022E-2,1.35000002,2500000.00,1004.50000,0.285714298,4183000.00,0.567051011E-7,238.000000,0.399999991E-1,0.249999985E-1,-26.1499939,913.657715,1746928.25,0.129419846E-5,247.000000,246.885712,0.00000000,0.00000000,241.000000,241.435867,0.198494512E-3,0.207853343E-3,0.198494512E-3,0.207853343E-3,0.00000000,0.00000000,0.848161648E-7,0.241726071,33.0965576,-348.628143,0.848161648E-7,0.00000000,0.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000
cold_thick_ice,4,60.0000000,1,40.0000000,24,16,4,0,0.00000000,0.00000000,0.949999988,0.199999995E-3,0.00000000,170.000000,5.00000000,0.980000019,-45.0000000,0.800000038E-2,0.700000022E-2,1.35000002,2500000.00,1004.50000,0.285714298,4183000.00,0.567051011E-7,238.000000,0.100000001,0.700000003E-1,-22.6499939,914.183472,1772874.12,0.127525800E-5,250.500000,250.475037,0.00000000,0.00000000,241.000000,241.435867,0.198494512E-3,0.207853343E-3,0.198494512E-3,0.207853343E-3,0.00000000,0.00000000,0.848161648E-7,0.241726071,33.0965576,-348.628143,0.848161648E-7,0.00000000,0.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000
cold_thick_ice,5,60.0000000,1,40.0000000,24,16,4,0,0.00000000,0.00000000,0.949999988,0.199999995E-3,0.00000000,170.000000,5.00000000,0.980000019,-45.0000000,0.800000038E-2,0.700000022E-2,1.35000002,2500000.00,1004.50000,0.285714298,4183000.00,0.567051011E-7,238.000000,0.300000012,0.200000003,-19.1499939,914.709717,1798849.62,0.125684323E-5,254.000000,253.998138,0.00000000,0.00000000,241.000000,241.435867,0.198494512E-3,0.207853343E-3,0.198494512E-3,0.207853343E-3,0.00000000,0.00000000,0.848161648E-7,0.241726071,33.0965576,-348.628143,0.848161648E-7,0.00000000,0.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000
cold_thick_ice,6,60.0000000,1,40.0000000,24,16,4,0,0.00000000,0.00000000,0.949999988,0.199999995E-3,0.00000000,170.000000,5.00000000,0.980000019,-45.0000000,0.800000038E-2,0.700000022E-2,1.35000002,2500000.00,1004.50000,0.285714298,4183000.00,0.567051011E-7,238.000000,0.600000024,0.450000018,-15.6499939,915.236633,1824855.12,0.123893221E-5,257.500000,257.499329,0.00000000,0.00000000,241.000000,241.435867,0.198494512E-3,0.207853343E-3,0.198494512E-3,0.207853343E-3,0.00000000,0.00000000,0.848161648E-7,0.241726071,33.0965576,-348.628143,0.848161648E-7,0.00000000,0.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000
cold_thick_ice,7,60.0000000,1,40.0000000,24,16,4,0,0.00000000,0.00000000,0.949999988,0.199999995E-3,0.00000000,170.000000,5.00000000,0.980000019,-45.0000000,0.800000038E-2,0.700000022E-2,1.35000002,2500000.00,1004.50000,0.285714298,4183000.00,0.567051011E-7,238.000000,1.00000000,0.800000012,-12.1499939,915.764099,1850890.50,0.122150493E-5,261.000000,260.999573,0.00000000,0.00000000,241.000000,241.435867,0.198494512E-3,0.207853343E-3,0.198494512E-3,0.207853343E-3,0.00000000,0.00000000,0.848161648E-7,0.241726071,33.0965576,-348.628143,0.848161648E-7,0.00000000,0.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000
cold_thick_ice,8,60.0000000,1,40.0000000,24,16,4,0,0.00000000,0.00000000,0.949999988,0.199999995E-3,0.00000000,170.000000,5.00000000,0.980000019,-45.0000000,0.800000038E-2,0.700000022E-2,1.35000002,2500000.00,1004.50000,0.285714298,4183000.00,0.567051011E-7,238.000000,1.60000002,1.29999995,-8.64999390,916.292175,1876955.88,0.120454183E-5,264.500000,264.499756,0.00000000,0.00000000,241.000000,241.435867,0.198494512E-3,0.207853343E-3,0.198494512E-3,0.207853343E-3,0.00000000,0.00000000,0.848161648E-7,0.241726071,33.0965576,-348.628143,0.848161648E-7,0.00000000,0.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000
cold_thick_ice,9,60.0000000,1,40.0000000,24,16,4,0,0.00000000,0.00000000,0.949999988,0.199999995E-3,0.00000000,170.000000,5.00000000,0.980000019,-45.0000000,0.800000038E-2,0.700000022E-2,1.35000002,2500000.00,1004.50000,0.285714298,4183000.00,0.567051011E-7,238.000000,3.00000000,2.29999995,-5.14999390,916.820923,1903051.62,0.118802450E-5,268.000000,268.000000,0.00000000,0.00000000,241.000000,241.435867,0.198494512E-3,0.207853343E-3,0.198494512E-3,0.207853343E-3,0.00000000,0.00000000,0.848161648E-7,0.241726071,33.0965576,-348.628143,0.848161648E-7,0.00000000,0.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000
near_melt_cap,1,60.0000000,1,40.0000000,24,16,4,0,0.00000000,0.00000000,0.949999988,0.499999989E-2,0.00000000,310.000000,250.000000,0.980000019,180.000000,0.199999996E-1,0.179999992E-1,1.29999995,2500000.00,1004.50000,0.285714298,4183000.00,0.567051011E-7,276.000000,0.00000000,0.00000000,-1.85000610,917.319946,1927683.38,0.117284401E-5,271.299988,271.399994,0.00000000,0.294021229E-4,271.299988,271.399994,0.343053276E-2,0.352989370E-2,0.343053276E-2,0.352989370E-2,0.00000000,0.00000000,-0.382227590E-4,-108.934860,-109.720772,17.5526676,-0.382227590E-4,0.00000000,0.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000
