case,case_index,k,delt,c1sn,c2sn,isice,ivgtyp,seaice,gsw,tabs,tsnav,prcpms,newsnms,vegfra,lai,sat,soilt,snowfallac,alb_snow,alb_snow_free,snowrat,grauprat,icerat,curat,iland_before,snwe_before,snhei_before,snowfrac_before,rhosn_before,rhosnfall_before,cst_before,alb_before,emiss_before,znt_before,ts1d
warm_rain_canopy_drip,1,1,60.0000000,0.260000005E-1,21.0000000,15,10,0.00000000,520.000000,291.000000,0.00000000,0.399999999E-5,0.00000000,65.0000000,2.90000010,0.500000024E-3,292.000000,0.00000000,0.699999988,0.180000007,0.00000000,0.00000000,0.00000000,0.00000000,10,0.00000000,0.00000000,0.00000000,200.000000,100.000000,0.479999988E-3,0.219999999,0.920000017,0.750000030E-1,291.000000
warm_rain_canopy_drip,1,2,60.0000000,0.260000005E-1,21.0000000,15,10,0.00000000,520.000000,291.000000,0.00000000,0.399999999E-5,0.00000000,65.0000000,2.90000010,0.500000024E-3,292.000000,0.00000000,0.699999988,0.180000007,0.00000000,0.00000000,0.00000000,0.00000000,10,0.00000000,0.00000000,0.00000000,200.000000,100.000000,0.479999988E-3,0.219999999,0.920000017,0.750000030E-1,290.200012
warm_rain_canopy_drip,1,3,60.0000000,0.260000005E-1,21.0000000,15,10,0.00000000,520.000000,291.000000,0.00000000,0.399999999E-5,0.00000000,65.0000000,2.90000010,0.500000024E-3,292.000000,0.00000000,0.699999988,0.180000007,0.00000000,0.00000000,0.00000000,0.00000000,10,0.00000000,0.00000000,0.00000000,200.000000,100.000000,0.479999988E-3,0.219999999,0.920000017,0.750000030E-1,289.399994
warm_rain_canopy_drip,1,4,60.0000000,0.260000005E-1,21.0000000,15,10,0.00000000,520.000000,291.000000,0.00000000,0.399999999E-5,0.00000000,65.0000000,2.90000010,0.500000024E-3,292.000000,0.00000000,0.699999988,0.180000007,0.00000000,0.00000000,0.00000000,0.00000000,10,0.00000000,0.00000000,0.00000000,200.000000,100.000000,0.479999988E-3,0.219999999,0.920000017,0.750000030E-1,288.600006
warm_rain_canopy_drip,1,5,60.0000000,0.260000005E-1,21.0000000,15,10,0.00000000,520.000000,291.000000,0.00000000,0.399999999E-5,0.00000000,65.0000000,2.90000010,0.500000024E-3,292.000000,0.00000000,0.699999988,0.180000007,0.00000000,0.00000000,0.00000000,0.00000000,10,0.00000000,0.00000000,0.00000000,200.000000,100.000000,0.479999988E-3,0.219999999,0.920000017,0.750000030E-1,287.799988
warm_rain_canopy_drip,1,6,60.0000000,0.260000005E-1,21.0000000,15,10,0.00000000,520.000000,291.000000,0.00000000,0.399999999E-5,0.00000000,65.0000000,2.90000010,0.500000024E-3,292.000000,0.00000000,0.699999988,0.180000007,0.00000000,0.00000000,0.00000000,0.00000000,10,0.00000000,0.00000000,0.00000000,200.000000,100.000000,0.479999988E-3,0.219999999,0.920000017,0.750000030E-1,287.000000
warm_rain_canopy_drip,1,7,60.0000000,0.260000005E-1,21.0000000,15,10,0.00000000,520.000000,291.000000,0.00000000,0.399999999E-5,0.00000000,65.0000000,2.90000010,0.500000024E-3,292.000000,0.00000000,0.699999988,0.180000007,0.00000000,0.00000000,0.00000000,0.00000000,10,0.00000000,0.00000000,0.00000000,200.000000,100.000000,0.479999988E-3,0.219999999,0.920000017,0.750000030E-1,286.200012
warm_rain_canopy_drip,1,8,60.0000000,0.260000005E-1,21.0000000,15,10,0.00000000,520.000000,291.000000,0.00000000,0.399999999E-5,0.00000000,65.0000000,2.90000010,0.500000024E-3,292.000000,0.00000000,0.699999988,0.180000007,0.00000000,0.00000000,0.00000000,0.00000000,10,0.00000000,0.00000000,0.00000000,200.000000,100.000000,0.479999988E-3,0.219999999,0.920000017,0.750000030E-1,285.399994
warm_rain_canopy_drip,1,9,60.0000000,0.260000005E-1,21.0000000,15,10,0.00000000,520.000000,291.000000,0.00000000,0.399999999E-5,0.00000000,65.0000000,2.90000010,0.500000024E-3,292.000000,0.00000000,0.699999988,0.180000007,0.00000000,0.00000000,0.00000000,0.00000000,10,0.00000000,0.00000000,0.00000000,200.000000,100.000000,0.479999988E-3,0.219999999,0.920000017,0.750000030E-1,284.600006
bare_soil_rain,2,1,30.0000000,0.260000005E-1,21.0000000,15,16,0.00000000,480.000000,288.000000,0.00000000,0.600000021E-5,0.00000000,0.00000000,0.750000000,0.500000024E-3,289.000000,0.00000000,0.699999988,0.180000007,0.00000000,0.00000000,0.00000000,0.00000000,16,0.00000000,0.00000000,0.00000000,200.000000,100.000000,0.999999975E-4,0.180000007,0.930000007,0.649999976E-1,288.000000
